10378,85,JAPAN,KANAGAWA,KAMAKURA,35.31,139.54
28204,85,JAPAN,WAKAYAMA,SOUTH COAST OF KII PENINSULA,33.5,135.8
25335,84,NORTH KOREA,NULL,HAEJU,38.0406,125.7147
10379,85,JAPAN,KANAGAWA,KAMAKURA,35.31,139.54
28205,85,JAPAN,WAKAYAMA,SOUTH COAST OF KII PENINSULA,33.5,135.8
15731,50,SYRIA,NULL,LATAKIA,35.517,35.783
78,85,JAPAN,OSAKA,IBARAKI,34.81,135.57
10380,85,JAPAN,KANTO,TONE RIVER,35.75,140.8
25333,84,SOUTH KOREA,NULL,INCHON,37.4536,126.7317
79,85,JAPAN,TOYAMA,TOYAMA BAY-NIIGATA,36.7,137.23
10920,50,ITALY,CAMPANIA,BAY OF NAPLES,40.83,14.25
80,50,GREECE,NULL,ISLAND OF RHODES,36.2,28
19375,50,GREECE,NULL,ISLAND OF RHODES,36.2,28
10921,50,GREECE,NULL,"HERACLION [CANDIA], ISLAND OF CRETE",35.333,25.133
82,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55
19403,85,JAPAN,KANAGAWA,YUIGAHAMA,35.283,139.567
19407,85,JAPAN,NULL,KII PENINSULA,NULL,NULL
19406,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55
19405,85,JAPAN,MIE,ISE,34.48,136.71
6681,74,VENEZUELA,NULL,PEDERNALES,9.967,-62.267
10409,85,JAPAN,WAKAYAMA,MINATO,34.0903,135.09
19404,85,JAPAN,SHIZUOKA,NISHINA COUNTY,34.7667,138.7667
85,85,JAPAN,MIE,OMINATO (ISE),34.517,136.75
7062,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55
86,85,JAPAN,SHIZUOKA,YAIZU,34.867,138.333
87,85,JAPAN,SHIZUOKA,LAKE HAMANA,34.683,137.6
84,85,JAPAN,TOKYO,"YAENE, HACHIJO ISLAND",33.1,139.767
88,80,USA,HI,"KALAELOA, MOLOKAI, HI",21.05,-156.85
10922,50,GREECE,NULL,ISLAND OF CRETE,NULL,NULL
16350,84,CHINA,NULL,NANXIANG,31.2947,121.2983
16351,84,CHINA,NULL,WUSONG,31.3683,121.4928
16352,84,TAIWAN,NULL,CHIATUNG,24.33,120.567
89,50,TURKEY,NULL,ISTANBUL (CONSTANTINOPLE),41.019,28.965
90,85,JAPAN,OSAKA,NANIWA (OSAKA),34.7,135.5
10410,85,JAPAN,SHIZUOKA,TOTOMI-NADA,34.6,138.2
10924,50,ITALY,NULL,GULF OF VENICE,45.5,12.5
26403,50,ITALY,NULL,TRIESTE,45.65,13.77
19408,85,JAPAN,TOKUSHIMA,SHIKOKU ISLAND,34.067,134.567
25522,84,SOUTH KOREA,NULL,CHUNGCHONG PROVINCE,36.3,126.5
91,85,JAPAN,WAKAYAMA,SOUTH COAST OF KII PENINSULA,33.5,135.8
94,74,VENEZUELA,NULL,PARIA,10.627,-62.167
93,74,VENEZUELA,NULL,ISLA CUBAGUA,10.817,-64.183
92,74,VENEZUELA,NULL,CUMANA,10.483,-64.2
96,73,PORTUGAL,NULL,LISBON,38.68333,-9.31666
15740,84,CHINA,NULL,"GUICHI, ANHUI PROVINCE",30.658,117.483
10925,50,ISRAEL,NULL,PALESTINE,NULL,NULL
28178,88,MEXICO,NULL,COAST OF MEXICO,NULL,NULL
